# BetterQuesting Item Export
# Format: modid:item_name
# Use these IDs in DSL quest files

3DManeuverGear:3DManeuverGear                      # 3D Maneuver Gear
eternalfrost:flint_and_diamond                     # Flint and Diamond
eternalfrost:flowing_freezing_water                # tile.flowing_freezing_water.name
eternalfrost:freezing_water                        # tile.freezing_water.name
eternalfrost:frosty_reed                           # Frosty Reed
eternalfrost:frosty_reeds                          # Frosty Reeds
eternalfrost:frozenBrick_stairs                    # Frozen Brick Stairs
eternalfrost:frozenCobble_stairs                   # Frozen Cobblestone Stairs
eternalfrost:frozen_bread                          # Wintry Wheat Bread
eternalfrost:frozen_brick                          # Frozen Brick
eternalfrost:frozen_button                         # Frozen Button
eternalfrost:frozen_coal                           # Frosted Coal
eternalfrost:frozen_coal_ore                       # Frosted Coal Ore
eternalfrost:frozen_cobblestone                    # Frozen Cobblestone
eternalfrost:frozen_cobblestone_axe                # Frozen Cobblestone Axe
eternalfrost:frozen_cobblestone_hoe                # Frozen Cobblestone Hoe
eternalfrost:frozen_cobblestone_pickaxe            # Frozen Cobblestone Pickaxe
eternalfrost:frozen_cobblestone_shovel             # Frozen Cobblestone Shovel
eternalfrost:frozen_cobblestone_sword              # Frozen Cobblestone Sword
eternalfrost:frozen_crops                          # Hello
eternalfrost:frozen_farmland                       # Shame
eternalfrost:frozen_flower                         # Frozen Flower
eternalfrost:frozen_furnace                        # Frosted Furnace
eternalfrost:frozen_furnace_active                 # Frosted Furnace
eternalfrost:frozen_glowstone                      # Frozen Glowstone
eternalfrost:frozen_glowstone_dust                 # Frozen Glowstone Dust
eternalfrost:frozen_glowstone_lamp_off             # Bluestone Lamp
eternalfrost:frozen_glowstone_lamp_on              # Bluestone Lamp
eternalfrost:frozen_glowstone_torch                # Frozen Glowstone Torch
eternalfrost:frozen_grass                          # Frozen Tall Grass
eternalfrost:frozen_lever                          # Frozen Lever
eternalfrost:frozen_mossy_cobblestone              # Frosted Mossy Cobblestone
eternalfrost:frozen_mossy_light_cobblestone        # Lighted Frosted Mossy Cobblestone
eternalfrost:frozen_pear                           # Icy Pear
eternalfrost:frozen_piston                         # Bleak Frozen Piston
eternalfrost:frozen_piston_extension               # Bleak Frozen Piston
eternalfrost:frozen_piston_moving                  # tile.frozen_piston_moving.name
eternalfrost:frozen_piston_sticky                  # Bleak Sticky Frozen Piston
eternalfrost:frozen_porkchop                       # Frozen Raw Porkchop
eternalfrost:frozen_relic                          # Frozen Relic
eternalfrost:frozen_sand                           # Frigid Sand
eternalfrost:frozen_stone                          # Frozen Stone
eternalfrost:frozen_tallgrass                      # tile.frozen_tallgrass.name
eternalfrost:frozen_wheat                          # Wintry Wheat
eternalfrost:frozen_wheat_block                    # Wintry Wheat Block
eternalfrost:frozen_wheat_seeds                    # Wintry Wheat Seeds
eternalfrost:glace_powder                          # Glace Powder
eternalfrost:glace_rod                             # Glace Rod
eternalfrost:goat_cheese                           # Piece Of Goat Cheese
eternalfrost:hades_body                            # Hades Chestplate
eternalfrost:ham                                   # Ham
eternalfrost:ham_cooked                            # Cooked Ham
eternalfrost:heatstone                             # Heatstone
eternalfrost:heatstone_crystal                     # Heatstone Crystal
eternalfrost:heatstone_ore                         # Heatstone Ore
eternalfrost:heatstone_powder                      # Heatstone Powder
eternalfrost:hermes_boots                          # Hermes Boots
eternalfrost:ice_ball                              # item.ice_ball.name
eternalfrost:ice_ball_staff                        # Iceball Staff
eternalfrost:ice_obsidian                          # Snowy Obsidian
eternalfrost:ice_oven                              # Ice Oven
eternalfrost:ice_oven_active                       # Ice Oven
eternalfrost:ice_rod                               # Ice Rod
eternalfrost:ice_shards                            # Ice Shards
eternalfrost:ice_table                             # Eternal Enchantment Table
eternalfrost:icy_strawberry                        # Icy Strawberry
eternalfrost:ivory_staff                           # Ivory Staff
eternalfrost:loki_boots                            # Loki Boots
eternalfrost:magical_harp                          # Magical Harp
eternalfrost:mammoth_tusk                          # Mammoth Tusk
eternalfrost:mob_spawner                           # Mob Spawner
eternalfrost:mob_spawner_2                         # Mob Spawner
eternalfrost:note_0                                # item.note_0.name
eternalfrost:note_1                                # item.note_1.name
eternalfrost:note_2                                # item.note_2.name
eternalfrost:odin_greaves                          # Odin Greaves
eternalfrost:pelt                                  # Pelt
eternalfrost:pelt_boots                            # Pelt Boots
eternalfrost:pelt_chestplate                       # Pelt Chestplate
eternalfrost:pelt_helmet                           # Pelt Helmet
eternalfrost:pelt_leggings                         # Pelt Leggings
eternalfrost:permafrost_soil                       # Permafrost Soil
eternalfrost:portal_freezer                        # tile.portal_freezer.name
eternalfrost:poseidon_crown                        # Poseidon Crown
eternalfrost:rough_wool                            # Rough Wool
eternalfrost:rough_woolen_boots                    # Rough Woolen Boots
eternalfrost:rough_woolen_chestplate               # Rough Woolen Chestplate
eternalfrost:rough_woolen_helmet                   # Rough Woolen Helmet
eternalfrost:rough_woolen_leggings                 # Rough Woolen Leggings
eternalfrost:satan_helm                            # Satan Helm
eternalfrost:slab_frozenCobbleStone                # Frozen Cobblestone Slab
eternalfrost:slab_frozenCobbleStoneDouble          # Frozen Cobblestone Slab
eternalfrost:snowEF                                # Snow
eternalfrost:snow_blower                           # Snow Blower
eternalfrost:snow_layerEF                          # Snow Layer
eternalfrost:snowbark_axe                          # Snowbark Axe
eternalfrost:snowbark_bookshelf                    # Frozen Snowbark Bookshelf
eternalfrost:snowbark_bow                          # Snowbark Bow
eternalfrost:snowbark_bowl                         # Snowbark Bowl
eternalfrost:snowbark_bowl_milk                    # Bowl'o'Goatmilk
eternalfrost:snowbark_chest                        # Snowbark Chest
eternalfrost:snowbark_door                         # Snowbark Door
eternalfrost:snowbark_door_item                    # Snowbark Door
eternalfrost:snowbark_hoe                          # Snowbark Hoe
eternalfrost:snowbark_ladder                       # Snowbark Ladder
eternalfrost:snowbark_leaves                       # Snowbark Leaves
eternalfrost:snowbark_pickaxe                      # Snowbark Pickaxe
eternalfrost:snowbark_pressure_plate               # Snowbark Pressure Plate
eternalfrost:snowbark_sapling                      # Snowbark Sapling
eternalfrost:snowbark_shovel                       # Snowbark Shovel
eternalfrost:snowbark_sign                         # tile.snowbarksign.name
eternalfrost:snowbark_sign_item                    # Snowbark Sign
eternalfrost:snowbark_sign_wall                    # tile.snowbarksign.name
eternalfrost:snowbark_slab                         # Snowbark Slab
eternalfrost:snowbark_stairs                       # Snowbark Stairs
eternalfrost:snowbark_stick                        # Snowbark Stick
eternalfrost:snowbark_sword                        # Snowbark Sword
eternalfrost:snowbark_wood                         # Snowbark Wood
eternalfrost:snowbark_wooden_planks                # Snowbark Wooden Plank
eternalfrost:snowbark_workbench                    # Snowbark Crafting Table
eternalfrost:stitched_fur                          # Stitched Fur
eternalfrost:stitched_fur_boots                    # Stitched Fur Boots
eternalfrost:stitched_fur_chestplate               # Stitched Fur Chestplate
eternalfrost:stitched_fur_helmet                   # Stitched Fur Helmet
eternalfrost:stitched_fur_leggings                 # Stitched Fur Leggings
eternalfrost:strawberry_crops                      # Drug
eternalfrost:strawberry_leaves                     # Icy Strawberry Bush
eternalfrost:strawberry_pie                        # Icy Strawberry Pie
eternalfrost:strawberry_pie_item                   # Strawberry Pie
eternalfrost:strawberry_seeds                      # Strawberry Seeds
eternalfrost:stuffed_arctite_boots                 # Stuffed Arctite Boots
eternalfrost:stuffed_arctite_chestplate            # Stuffed Arctite Chestplate
eternalfrost:stuffed_arctite_helmet                # Stuffed Arctite Helmet
eternalfrost:stuffed_arctite_leggings              # Stuffed Arctite Leggings
eternalfrost:stuffed_coldsteel_boots               # Stuffed Coldsteel Boots
eternalfrost:stuffed_coldsteel_chestplate          # Stuffed Coldsteel Chestplate
eternalfrost:stuffed_coldsteel_helmet              # Stuffed Coldsteel Helmet
eternalfrost:stuffed_coldsteel_leggings            # Stuffed Coldsteel Leggings
eternalfrost:stuffed_crystal_boots                 # Stuffed Crystal Boots
eternalfrost:stuffed_crystal_chestplate            # Stuffed Crystal Chestplate
eternalfrost:stuffed_crystal_helmet                # Stuffed Crystal Helmet
eternalfrost:stuffed_crystal_leggings              # Stuffed Crystal Leggings
eternalfrost:teleport_ring                         # Ring of Teleportation
eternalfrost:thor_hammer                           # Thor Hammer
eternalsingularity:eternal_singularity             # Eternal Singularity
etfuturum:acacia_boat                              # Acacia Boat
etfuturum:acacia_chest_boat                        # Acacia Boat with Chest
etfuturum:amethyst_block                           # Amethyst Block
etfuturum:amethyst_cluster_1                       # Small Amethyst Bud
etfuturum:amethyst_cluster_2                       # Large Amethyst Bud
etfuturum:amethyst_shard                           # Amethyst Shard
etfuturum:ancient_debris                           # Ancient Debris
etfuturum:anvil                                    # Anvil
etfuturum:bamboo                                   # Bamboo
etfuturum:bamboo_block                             # Bamboo Block
etfuturum:bamboo_button                            # Bamboo Button
etfuturum:bamboo_chest_raft                        # Bamboo Raft with Chest
etfuturum:bamboo_door                              # Bamboo Door
etfuturum:bamboo_fence_gate                        # Bamboo Fence Gate
etfuturum:bamboo_mosaic                            # Bamboo Mosaic
etfuturum:bamboo_mosaic_slab                       # Bamboo Mosaic Slab
etfuturum:bamboo_mosaic_stairs                     # Bamboo Mosaic Stairs
etfuturum:bamboo_pressure_plate                    # Bamboo Pressure Plate
etfuturum:bamboo_raft                              # Bamboo Raft
etfuturum:bamboo_sign                              # Bamboo Sign
etfuturum:bamboo_stairs                            # Bamboo Stairs
etfuturum:bamboo_trapdoor                          # Bamboo Trapdoor
etfuturum:banner                                   # White Banner
etfuturum:bark                                     # Oak Wood
etfuturum:bark2                                    # Acacia Wood
etfuturum:barrel                                   # Barrel
etfuturum:barrier                                  # Barrier
etfuturum:basalt                                   # Basalt
etfuturum:beacon                                   # Beacon
etfuturum:bee_nest                                 # Bee Nest
etfuturum:beehive                                  # Beehive
etfuturum:beetroot                                 # Beetroot
etfuturum:beetroot_seeds                           # Beetroot Seeds
etfuturum:beetroot_soup                            # Beetroot Soup
etfuturum:birch_boat                               # Birch Boat
etfuturum:birch_chest_boat                         # Birch Boat with Chest
etfuturum:black_bed                                # Black Bed
etfuturum:black_glazed_terracotta                  # Black Glazed Terracotta
etfuturum:blackstone                               # Blackstone
etfuturum:blackstone_slab                          # Blackstone Slab
etfuturum:blackstone_stairs                        # Blackstone Stairs
etfuturum:blackstone_wall                          # Blackstone Wall
etfuturum:blast_furnace                            # Blast Furnace
etfuturum:blue_bed                                 # Blue Bed
etfuturum:blue_glazed_terracotta                   # Blue Glazed Terracotta
etfuturum:blue_ice                                 # Blue Ice
etfuturum:bone                                     # Bone Block
etfuturum:brewing_stand                            # Brewing Stand
etfuturum:brown_bed                                # Brown Bed
etfuturum:brown_glazed_terracotta                  # Brown Glazed Terracotta
etfuturum:brown_mushroom                           # Mushroom
etfuturum:budding_amethyst                         # Budding Amethyst
etfuturum:button_acacia                            # Acacia Button
etfuturum:button_birch                             # Birch Button
etfuturum:button_dark_oak                          # Dark Oak Button
etfuturum:button_jungle                            # Jungle Button
etfuturum:button_spruce                            # Spruce Button
etfuturum:calcite                                  # Calcite
etfuturum:cartography_table                        # Cartography Table
etfuturum:chain                                    # Chain
etfuturum:cherry_boat                              # Cherry Boat
etfuturum:cherry_button                            # Cherry Button
etfuturum:cherry_chest_boat                        # Cherry Boat with Chest
etfuturum:cherry_door                              # Cherry Door
etfuturum:cherry_fence_gate                        # Cherry Fence Gate
etfuturum:cherry_log                               # Cherry Log
etfuturum:cherry_pressure_plate                    # Cherry Pressure Plate
etfuturum:cherry_sign                              # Cherry Sign
etfuturum:cherry_stairs                            # Cherry Stairs
etfuturum:cherry_trapdoor                          # Cherry Trapdoor
etfuturum:chiseled_copper                          # Chiseled Copper
etfuturum:chorus_flower                            # Chorus Flower
etfuturum:chorus_fruit                             # Chorus Fruit
etfuturum:chorus_fruit_popped                      # Popped Chorus Fruit
etfuturum:chorus_plant                             # Chorus Plant
etfuturum:coarse_dirt                              # Coarse Dirt
etfuturum:cobbled_deepslate                        # Cobbled Deepslate
etfuturum:cobbled_deepslate_stairs                 # Cobbled Deepslate Stairs
etfuturum:composter                                # Composter
etfuturum:concrete                                 # White Concrete
etfuturum:concrete_powder                          # White Concrete Powder
etfuturum:copper_block                             # Block of Copper
etfuturum:copper_bulb                              # Copper Bulb
etfuturum:copper_door                              # Copper Door
etfuturum:copper_grate                             # Copper Grate
etfuturum:copper_ingot                             # Copper Ingot
etfuturum:copper_ore                               # Copper Ore
etfuturum:copper_trapdoor                          # Copper Trapdoor
etfuturum:cornflower                               # Cornflower
etfuturum:crying_obsidian                          # Crying Obsidian
etfuturum:cut_copper_slab                          # Cut Copper Slab
etfuturum:cut_copper_stairs                        # Cut Copper Stairs
etfuturum:cyan_bed                                 # Cyan Bed
etfuturum:cyan_glazed_terracotta                   # Cyan Glazed Terracotta
etfuturum:dark_oak_boat                            # Dark Oak Boat
etfuturum:dark_oak_chest_boat                      # Dark Oak Boat with Chest
etfuturum:deepslate                                # Deepslate
etfuturum:deepslate_bop_ore                        # Deepslate Ruby Ore
etfuturum:deepslate_brick_slab                     # Deepslate Brick Slab
etfuturum:deepslate_brick_stairs                   # Deepslate Brick Stairs
etfuturum:deepslate_brick_wall                     # Deepslate Brick Wall
etfuturum:deepslate_bricks                         # Deepslate Bricks
etfuturum:deepslate_certus_quartz_ore              # Deepslate Certus Quartz Ore
etfuturum:deepslate_coal_ore                       # Deepslate Coal Ore
etfuturum:deepslate_copper_ore                     # Deepslate Copper Ore
etfuturum:deepslate_diamond_ore                    # Deepslate Diamond Ore
etfuturum:deepslate_draconium_ore                  # Deepslate Draconium Ore
etfuturum:deepslate_emerald_ore                    # Deepslate Emerald Ore
etfuturum:deepslate_gold_ore                       # Deepslate Gold Ore
etfuturum:deepslate_iron_ore                       # Deepslate Iron Ore
etfuturum:deepslate_lapis_ore                      # Deepslate Lapis Lazuli Ore
etfuturum:deepslate_redstone_ore                   # Deepslate Redstone Ore
etfuturum:deepslate_slab                           # Cobbled Deepslate Slab
etfuturum:deepslate_thaumcraft_ore                 # Deepslate Cinnabar Ore
etfuturum:deepslate_tile_stairs                    # Deepslate Tile Stairs
etfuturum:deepslate_wall                           # Cobbled Deepslate Wall
etfuturum:door_acacia                              # Acacia Door
etfuturum:door_birch                               # Birch Door
etfuturum:door_dark_oak                            # Dark Oak Door
etfuturum:door_jungle                              # Jungle Door
etfuturum:door_spruce                              # Spruce Door
etfuturum:double_bamboo_mosaic_slab                # Bamboo Mosaic Slab
etfuturum:double_blackstone_slab                   # Blackstone Slab
etfuturum:double_cut_copper_slab                   # Cut Copper Slab
etfuturum:double_deepslate_brick_slab              # Deepslate Brick Slab
etfuturum:double_deepslate_slab                    # Cobbled Deepslate Slab
etfuturum:double_end_brick_slab                    # End Stone Brick Slab
etfuturum:double_mud_brick_slab                    # Mud Brick Slab
etfuturum:double_prismarine_slab                   # Prismarine Slab
etfuturum:double_purpur_slab                       # Purpur Slab
etfuturum:double_red_netherbrick_slab              # Red Nether Brick Slab
etfuturum:double_red_sandstone_slab                # Red Sandstone Slab
etfuturum:double_smooth_quartz_slab                # Smooth Quartz Slab
etfuturum:double_smooth_red_sandstone_slab         # Smooth Red Sandstone Slab
etfuturum:double_smooth_sandstone_slab             # Smooth Sandstone Slab
etfuturum:double_stone_slab                        # Stone Slab
etfuturum:double_tuff_slab                         # Tuff Slab
etfuturum:double_wood_slab                         # Crimson Slab
etfuturum:dragon_breath                            # Dragon's Breath
etfuturum:dye                                      # White Dye
etfuturum:elytra                                   # Elytra
etfuturum:enchantment_table                        # Enchanting Table
etfuturum:end_brick_slab                           # End Stone Brick Slab
etfuturum:end_brick_stairs                         # End Stone Brick Stairs
etfuturum:end_brick_wall                           # End Stone Brick Wall
etfuturum:end_bricks                               # End Stone Bricks
etfuturum:end_crystal                              # End Crystal
etfuturum:end_rod                                  # End Rod
etfuturum:exposed_copper_door                      # Exposed Copper Door
etfuturum:exposed_copper_trapdoor                  # Exposed Copper Trapdoor
etfuturum:exposed_cut_copper_stairs                # Exposed Cut Copper Stairs
etfuturum:fence_acacia                             # Acacia Fence
etfuturum:fence_birch                              # Birch Fence
etfuturum:fence_dark_oak                           # Dark Oak Fence
etfuturum:fence_gate_acacia                        # Acacia Fence Gate
etfuturum:fence_gate_birch                         # Birch Fence Gate
etfuturum:fence_gate_dark_oak                      # Dark Oak Fence Gate
etfuturum:fence_gate_jungle                        # Jungle Fence Gate
etfuturum:fence_gate_spruce                        # Spruce Fence Gate
etfuturum:fence_jungle                             # Jungle Fence
etfuturum:fence_spruce                             # Spruce Fence
etfuturum:fletching_table                          # Fletching Table
etfuturum:gilded_blackstone                        # Gilded Blackstone
etfuturum:grass_path                               # Dirt Path
etfuturum:gray_bed                                 # Gray Bed
etfuturum:gray_glazed_terracotta                   # Gray Glazed Terracotta
etfuturum:green_bed                                # Green Bed
etfuturum:green_glazed_terracotta                  # Green Glazed Terracotta
etfuturum:honey_block                              # Honey Block
etfuturum:honey_bottle                             # Honey bottle
etfuturum:honeycomb                                # Honeycomb
etfuturum:honeycomb_block                          # Honeycomb Block
etfuturum:iron_trapdoor                            # Iron Trapdoor
etfuturum:item_sign_acacia                         # Acacia Sign
etfuturum:item_sign_birch                          # Birch Sign
etfuturum:item_sign_dark_oak                       # Dark Oak Sign
etfuturum:item_sign_jungle                         # Jungle Sign
etfuturum:item_sign_spruce                         # Spruce Sign
etfuturum:jungle_boat                              # Jungle Boat
etfuturum:jungle_chest_boat                        # Jungle Boat with Chest
etfuturum:lantern                                  # Lantern
etfuturum:leaves                                   # Mangrove Leaves
etfuturum:light                                    # Light
etfuturum:light_blue_bed                           # Light Blue Bed
etfuturum:light_blue_glazed_terracotta             # Light Blue Glazed Terracotta
etfuturum:light_gray_bed                           # Light Gray Bed
etfuturum:light_gray_glazed_terracotta             # Light Gray Glazed Terracotta
etfuturum:lily_of_the_valley                       # Lily of the Valley
etfuturum:lime_bed                                 # Lime Bed
etfuturum:lime_glazed_terracotta                   # Lime Glazed Terracotta
etfuturum:lingering_potion                         # Water Bottle
etfuturum:log2_stripped                            # Stripped Acacia Log
etfuturum:log_stripped                             # Stripped Oak Log
etfuturum:loom                                     # Loom
etfuturum:magenta_bed                              # Magenta Bed
etfuturum:magenta_glazed_terracotta                # Magenta Glazed Terracotta
etfuturum:magma                                    # Magma Block
etfuturum:modded_deepslate_ore                     # Deepslate Aluminum Ore
etfuturum:modded_raw_ore                           # Raw Aluminum
etfuturum:modded_raw_ore_block                     # Raw Aluminum Block
etfuturum:mossy_cobblestone_stairs                 # Mossy Cobblestone Stairs
etfuturum:mossy_stone_brick_stairs                 # Mossy Stone Brick Stairs
etfuturum:mud                                      # Mud
etfuturum:mud_brick_slab                           # Mud Brick Slab
etfuturum:mud_brick_stairs                         # Mud Brick Stairs
etfuturum:mud_brick_wall                           # Mud Brick Wall
etfuturum:nether_brick_wall                        # Nether Brick Wall
etfuturum:nether_gold_ore                          # Nether Gold Ore
etfuturum:nether_wart                              # Nether Wart Block
etfuturum:netherite_axe                            # Netherite Axe
etfuturum:netherite_block                          # Block of Netherite
etfuturum:netherite_boots                          # Netherite Boots
etfuturum:netherite_chestplate                     # Netherite Chestplate
etfuturum:netherite_helmet                         # Netherite Helmet
etfuturum:netherite_hoe                            # Netherite Hoe
etfuturum:netherite_ingot                          # Netherite Ingot
etfuturum:netherite_leggings                       # Netherite Leggings
etfuturum:netherite_pickaxe                        # Netherite Pickaxe
etfuturum:netherite_scrap                          # Netherite Scrap
etfuturum:netherite_spade                          # Netherite Shovel
etfuturum:netherite_stairs                         # Swaggiest stairs ever
etfuturum:netherite_sword                          # Netherite Sword
etfuturum:nugget_iron                              # Iron Nugget
etfuturum:oak_chest_boat                           # Oak Boat with Chest
etfuturum:observer                                 # Observer
etfuturum:old_gravel                               # Coarse Gravel
etfuturum:orange_bed                               # Orange Bed
etfuturum:orange_glazed_terracotta                 # Orange Glazed Terracotta
etfuturum:otherside_record                         # Music Disc
etfuturum:oxidized_copper_door                     # Oxidized Copper Door
etfuturum:oxidized_copper_trapdoor                 # Oxidized Copper Trapdoor
etfuturum:oxidized_cut_copper_stairs               # Oxidized Cut Copper Stairs
etfuturum:packed_mud                               # Packed Mud
etfuturum:pigstep_record                           # Music Disc
etfuturum:pink_bed                                 # Pink Bed
etfuturum:pink_glazed_terracotta                   # Pink Glazed Terracotta
etfuturum:pink_petals                              # Pink Petals
etfuturum:polished_blackstone_brick_stairs         # Polished Blackstone Brick Stairs
etfuturum:polished_blackstone_button               # Polished Blackstone Button
etfuturum:polished_blackstone_pressure_plate       # Polished Blackstone Pressure Plate
etfuturum:polished_blackstone_stairs               # Polished Blackstone Stairs
etfuturum:polished_deepslate                       # Polished Deepslate
etfuturum:polished_deepslate_stairs                # Polished Deepslate Stairs
etfuturum:polished_tuff_stairs                     # Polished Tuff Stairs
etfuturum:pressure_plate_acacia                    # Acacia Pressure Plate
etfuturum:pressure_plate_birch                     # Birch Pressure Plate
etfuturum:pressure_plate_dark_oak                  # Dark Oak Pressure Plate
etfuturum:pressure_plate_jungle                    # Jungle Pressure Plate
etfuturum:pressure_plate_spruce                    # Spruce Pressure Plate
etfuturum:prismarine_block                         # Prismarine
etfuturum:prismarine_crystals                      # Prismarine Crystal
etfuturum:prismarine_shard                         # Prismarine Shard
etfuturum:prismarine_slab                          # Prismarine Slab
etfuturum:prismarine_stairs                        # Prismarine Stairs
etfuturum:prismarine_stairs_brick                  # Prismarine Bricks Stairs
etfuturum:prismarine_stairs_dark                   # Dark Prismarine Stairs
etfuturum:prismarine_wall                          # Prismarine Wall
etfuturum:purple_bed                               # Purple Bed
etfuturum:purple_glazed_terracotta                 # Purple Glazed Terracotta
etfuturum:purpur_block                             # Purpur Block
etfuturum:purpur_pillar                            # Purpur Pillar
etfuturum:purpur_slab                              # Purpur Slab
etfuturum:purpur_stairs                            # Purpur Stairs
etfuturum:quartz_bricks                            # Quartz Bricks
etfuturum:rabbit_cooked                            # Cooked Rabbit
etfuturum:rabbit_foot                              # Rabbit's Foot
etfuturum:rabbit_hide                              # Rabbit Hide
etfuturum:rabbit_raw                               # Raw Rabbit
etfuturum:rabbit_stew                              # Rabbit Stew
etfuturum:raw_ore                                  # Raw Copper
etfuturum:raw_ore_block                            # Raw Copper Block
etfuturum:red_glazed_terracotta                    # Red Glazed Terracotta
etfuturum:red_mushroom                             # Mushroom
etfuturum:red_nether_brick_wall                    # Red Nether Brick Wall
etfuturum:red_netherbrick                          # Red Nether Bricks
etfuturum:red_netherbrick_slab                     # Red Nether Brick Slab
etfuturum:red_netherbrick_stairs                   # Red Nether Brick Stairs
etfuturum:red_sandstone                            # Red Sandstone
etfuturum:red_sandstone_slab                       # Red Sandstone Slab
etfuturum:red_sandstone_stairs                     # Red Sandstone Stairs
etfuturum:red_sandstone_wall                       # Red Sandstone Wall
etfuturum:rose                                     # Rose
etfuturum:sapling                                  # Mangrove Propagule
etfuturum:sea_lantern                              # Sea Lantern
etfuturum:shulker_box                              # Shulker Box
etfuturum:shulker_box_upgrade                      # Vanilla to Iron Shulker Box Upgrade
etfuturum:shulker_shell                            # Shulker Shell
etfuturum:slime                                    # Slime Block
etfuturum:smithing_table                           # Smithing Table
etfuturum:smoker                                   # Smoker
etfuturum:smooth_basalt                            # Smooth Basalt
etfuturum:smooth_quartz                            # Smooth Quartz
etfuturum:smooth_quartz_slab                       # Smooth Quartz Slab
etfuturum:smooth_quartz_stairs                     # Smooth Quartz Stairs
etfuturum:smooth_red_sandstone                     # Smooth Red Sandstone
etfuturum:smooth_red_sandstone_slab                # Smooth Red Sandstone Slab
etfuturum:smooth_red_sandstone_stairs              # Smooth Red Sandstone Stairs
etfuturum:smooth_sandstone                         # Smooth Sandstone
etfuturum:smooth_sandstone_slab                    # Smooth Sandstone Slab
etfuturum:smooth_sandstone_stairs                  # Smooth Sandstone Stairs
etfuturum:smooth_stone                             # Smooth Stone
etfuturum:soul_lantern                             # Soul Lantern
etfuturum:soul_soil                                # Soul Soil
etfuturum:soul_torch                               # Soul Torch
etfuturum:sponge                                   # Sponge
etfuturum:spruce_boat                              # Spruce Boat
etfuturum:spruce_chest_boat                        # Spruce Boat with Chest
etfuturum:stone_slab                               # Stone Slab
etfuturum:stone_stairs                             # Stone Stairs
etfuturum:stone_wall                               # Stone Brick Wall
etfuturum:stonecutter                              # Stonecutter
etfuturum:suspicious_stew                          # Suspicious Stew
etfuturum:sweet_berries                            # Sweet Berries
etfuturum:target                                   # Target
etfuturum:tinted_glass                             # Tinted Glass
etfuturum:tipped_arrow                             # Uncraftable Tipped Arrow
etfuturum:totem_of_undying                         # Totem of Undying
etfuturum:trapdoor_acacia                          # Acacia Trapdoor
etfuturum:trapdoor_birch                           # Birch Trapdoor
etfuturum:trapdoor_dark_oak                        # Dark Oak Trapdoor
etfuturum:trapdoor_jungle                          # Jungle Trapdoor
etfuturum:trapdoor_spruce                          # Spruce Trapdoor
etfuturum:tuff                                     # Tuff
etfuturum:tuff_brick_stairs                        # Tuff Brick Stairs
etfuturum:tuff_slab                                # Tuff Slab
etfuturum:tuff_stairs                              # Tuff Stairs
etfuturum:tuff_wall                                # Tuff Wall
etfuturum:waxed_copper_door                        # Waxed Copper Door
etfuturum:waxed_copper_trapdoor                    # Waxed Copper Trapdoor
etfuturum:waxed_cut_copper_stairs                  # Waxed Cut Copper Stairs
etfuturum:waxed_exposed_copper_door                # Waxed Exposed Copper Door
etfuturum:waxed_exposed_copper_trapdoor            # Waxed Exposed Copper Trapdoor
etfuturum:waxed_exposed_cut_copper_stairs          # Waxed Exposed Cut Copper Stairs
etfuturum:waxed_oxidized_copper_door               # Waxed Oxidized Copper Door
etfuturum:waxed_oxidized_copper_trapdoor           # Waxed Oxidized Copper Trapdoor
etfuturum:waxed_oxidized_cut_copper_stairs         # Waxed Oxidized Cut Copper Stairs
etfuturum:waxed_weathered_copper_door              # Waxed Weathered Copper Door
etfuturum:waxed_weathered_copper_trapdoor          # Waxed Weathered Copper Trapdoor
etfuturum:waxed_weathered_cut_copper_stairs        # Waxed Weathered Cut Copper Stairs
etfuturum:weathered_copper_door                    # Weathered Copper Door
etfuturum:weathered_copper_trapdoor                # Weathered Copper Trapdoor
etfuturum:weathered_cut_copper_stairs              # Weathered Cut Copper Stairs
etfuturum:white_bed                                # White Bed
etfuturum:white_glazed_terracotta                  # White Glazed Terracotta
etfuturum:wither_rose                              # Wither Rose
etfuturum:wood2_stripped                           # Stripped Acacia Wood
etfuturum:wood_fence                               # Crimson Fence
etfuturum:wood_planks                              # Crimson Planks
etfuturum:wood_slab                                # Crimson Slab
etfuturum:wood_stripped                            # Stripped Oak Wood
etfuturum:wooden_armorstand                        # Armour Stand
etfuturum:yellow_bed                               # Yellow Bed
etfuturum:yellow_glazed_terracotta                 # Yellow Glazed Terracotta
etsy:EmAxe                                         # Emerald Axe
etsy:EmBoots                                       # Emerald Boots
etsy:EmChestplate                                  # Emerald Chestplate
etsy:EmHelmet                                      # Emerald Helmet
etsy:EmHoe                                         # Emerald Hoe
etsy:EmLeggings                                    # Emerald Leggings
etsy:EmPickaxe                                     # Emerald Pickaxe
etsy:EmSpade                                       # Emerald Shovel
etsy:EmSwords                                      # Emerald Sword
etsy:LapAxe                                        # Lapis Lazuli Axe
etsy:LapBoots                                      # Lapis Lazuli Boots
etsy:LapChestplate                                 # Lapis Lazuli Chestplate
etsy:LapHelmet                                     # Lapis Lazuli Helmet
etsy:LapHoe                                        # Lapis Lazuli Hoe
etsy:LapLeggings                                   # Lapis Lazuli Leggings
etsy:LapPickaxe                                    # Lapis Lazuli Pickaxe
etsy:LapSpade                                      # Lapis Lazuli Shovel
etsy:LapSwords                                     # Lapis Lazuli Sword
etsy:LightAxe                                      # Glowstone Axe
etsy:LightBoots                                    # Glowstone Boots
